time_s,left_j1,left_j2,left_j3,left_j4,left_j5,left_j6,right_j1,right_j2,right_j3,right_j4,right_j5,right_j6
5.818,2.8181028366088863,0.6005112150924106,-1.7841656204691398,1.3221620044132576,0.21564498308725907,1.0896085500717163,0.3300157189369201,2.2538886391957953,1.5916771212905572,-1.3463721006264668,3.300668182404474,0.7286149859428406
6.018,2.8181028366088863,0.6004347427187895,-1.783791718968133,1.3221620044132576,0.21570018627608098,1.0896085500717163,0.3300157189369201,2.2539653933235995,1.5913027847054748,-1.3463721006264668,3.3006129117020406,0.7286149859428406
6.218,2.8181028366088863,0.6002245285526443,-1.783299953160168,1.3221620044132576,0.2158071345911596,1.0896085500717163,0.3300157189369201,2.254027510087328,1.5911106851199277,-1.3463721006264668,3.3006129117020406,0.7286149859428406
6.418,2.8181028366088863,0.6001385168601702,-1.782950908738713,1.3221620044132576,0.215869135441608,1.0896085500717163,0.3300157189369201,2.254262701299014,1.5904609909121048,-1.3463721006264668,3.3004437558556616,0.7286149859428406
6.618,2.8181028366088863,0.599884503895737,-1.7823364413343379,1.3221620044132576,0.21601515209476949,1.0896085500717163,0.3300157189369201,2.254624249337214,1.5897318038114447,-1.3463721006264668,3.30029756038129,0.7286149859428406
6.818,2.8181028366088863,0.5993957704195053,-1.7813483482968886,1.3221620044132576,0.21628117843647512,1.0896085500717163,0.3300157189369201,2.255125571977262,1.5887207341802407,-1.3463721006264668,3.3000312077128853,0.7286149859428406
7.018,2.8181028366088863,0.5988935720015435,-1.7803330757087688,1.3221620044132576,0.21659484611154792,1.0896085500717163,0.3300157189369201,2.2553378766060654,1.5882925669502568,-1.3463721006264668,3.299878530418931,0.7286149859428406
7.218,2.8181028366088863,0.5986578165466199,-1.7798564748882209,1.3221091183659153,0.21676484146155442,1.0896085500717163,0.3300157189369201,2.255798854963361,1.5873629069319561,-1.3462691090353465,3.2995469497654937,0.7286149859428406
7.419,2.8181028366088863,0.5980595604269183,-1.7786470924402247,1.3219939903174234,0.2171963620385216,1.0896085500717163,0.3300157189369201,2.2563992724717554,1.5861520870748778,-1.3461538564297362,3.2991148968794675,0.7286149859428406
7.618,2.8181028366088863,0.5974969206363312,-1.7775097700141496,1.3218673380652033,0.21760239269133336,1.0896085500717163,0.3300157189369201,2.2569639433459106,1.5850134075953959,-1.3460270666109855,3.2987083640327852,0.7286149859428406
7.818,2.8181028366088863,0.5966771015155246,-1.775852691840556,1.3216604332446875,0.21819439570754212,1.0896085500717163,0.3300157189369201,2.257469634318115,1.5839937079363138,-1.3458910442423069,3.298344113994967,0.7286149859428406
8.019,2.8181028366088863,0.5963503224556915,-1.7751922181269046,1.321587003269087,0.21843049869858108,1.0896085500717163,0.3300157189369201,2.2581146773045493,1.5826930747061838,-1.3457464256498493,3.297879229685345,0.7286149859428406
8.218,2.8181028366088863,0.5954309507433208,-1.773334128702119,1.3213516865762356,0.2190951767443042,1.0896085500717163,0.3300157189369201,2.2590373629536793,1.5808327404884026,-1.3455108499474586,3.2972137221950057,0.7286149859428406
