time_s,sim_left_j1,sim_left_j2,sim_left_j3,sim_left_j4,sim_left_j5,sim_left_j6,sim_right_j1,sim_right_j2,sim_right_j3,sim_right_j4,sim_right_j5,sim_right_j6,real_left_j1,real_left_j2,real_left_j3,real_left_j4,real_left_j5,real_left_j6,real_right_j1,real_right_j2,real_right_j3,real_right_j4,real_right_j5,real_right_j6,sim_delta_left_j1,sim_delta_left_j2,sim_delta_left_j3,sim_delta_left_j4,sim_delta_left_j5,sim_delta_left_j6,sim_delta_right_j1,sim_delta_right_j2,sim_delta_right_j3,sim_delta_right_j4,sim_delta_right_j5,sim_delta_right_j6,real_delta_left_j1,real_delta_left_j2,real_delta_left_j3,real_delta_left_j4,real_delta_left_j5,real_delta_left_j6,real_delta_right_j1,real_delta_right_j2,real_delta_right_j3,real_delta_right_j4,real_delta_right_j5,real_delta_right_j6,error_left_j1,error_left_j2,error_left_j3,error_left_j4,error_left_j5,error_left_j6,error_right_j1,error_right_j2,error_right_j3,error_right_j4,error_right_j5,error_right_j6,left_motion_state,left_power_state,left_servo_state,left_collision_state,right_motion_state,right_power_state,right_servo_state,right_collision_state
5.120,2.4843091351981164,0.8494875766444974,-0.4497546801224326,-0.4381996093763957,1.0386785632405284,0.0,0.6611447799139446,3.1362255432904083,0.9681999130649367,0.16209423250431235,2.253830853817443,0.0,2.7774855257994036,0.6406093297118769,-1.8243865714539536,1.282316522072496,0.2557094426920244,1.0896085500717163,0.3697413013323941,2.2940764602826773,1.6318420543102652,-1.3064044952770812,3.3407976936432626,0.7286149859428406,0.0011647205685147988,-0.0034071304915794798,0.025442674731868287,0.07609377887215785,-0.024599935624068037,0.0,0.0014028180774819932,0.0013606509058488037,-0.01146164116326509,-0.03533674286322422,0.017547452470233704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011647205685147988,0.0034071304915794798,-0.025442674731868287,-0.07609377887215785,0.024599935624068037,0.0,-0.0014028180774819932,-0.0013606509058488037,0.01146164116326509,0.03533674286322422,-0.017547452470233704,0.0,0,1,1,0,0,1,1,0
5.220,2.4843277100255534,0.8494081752999524,-0.449159272254061,-0.43640414464137056,1.0381162909537576,0.0,0.6611774745489865,3.136256001544485,0.9679296196155669,0.16126194105204822,2.2542432812029936,0.0,2.7774855257994036,0.6406093297118769,-1.8243865714539536,1.282316522072496,0.2557094426920244,1.0896085500717163,0.3697413013323941,2.2940764602826773,1.6318420543102652,-1.3064044952770812,3.3407976936432626,0.7286149859428406,0.0011832953959518555,-0.0034865318361244624,0.026038082600239876,0.07788924360718297,-0.025162207910838896,0.0,0.0014355127125238454,0.0013911091599254632,-0.011731934612634887,-0.036169034315488346,0.017959879855784067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011832953959518555,0.0034865318361244624,-0.026038082600239876,-0.07788924360718297,0.025162207910838896,0.0,-0.0014355127125238454,-0.0013911091599254632,0.011731934612634887,0.036169034315488346,-0.017959879855784067,0.0,0,1,1,0,0,1,1,0
5.320,2.4843412455190728,0.8493490786151499,-0.4487159054444825,-0.43506660706467115,1.0376979915316011,0.0,0.661201853237214,3.1362786580973854,0.9677282849432642,0.1606419833744916,2.254550464665903,0.0,2.7774855257994036,0.6406093297118769,-1.8243865714539536,1.282316522072496,0.2557094426920244,1.0896085500717163,0.3697413013323941,2.2940764602826773,1.6318420543102652,-1.3064044952770812,3.3407976936432626,0.7286149859428406,0.001196830889471201,-0.003545628520926991,0.02648144940981839,0.07922678118388238,-0.025580507332995328,0.0,0.001459891400751423,0.0014137657128259207,-0.011933269284937542,-0.03678899199304497,0.018267063318693655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001196830889471201,0.003545628520926991,-0.02648144940981839,-0.07922678118388238,0.025580507332995328,0.0,-0.001459891400751423,-0.0014137657128259207,0.011933269284937542,0.03678899199304497,-0.018267063318693655,0.0,0,1,1,0,0,1,1,0
5.420,2.4843501194919764,0.8493097333383429,-0.4484206155794841,-0.4341755179751637,1.0374195829892348,0.0,0.661218106082041,3.1362937367087196,0.9675941630182864,0.16022898674439257,2.2547550886369163,0.0,2.7774855257994036,0.6406093297118769,-1.8243865714539536,1.282316522072496,0.2557094426920244,1.0896085500717163,0.3697413013323941,2.2940764602826773,1.6318420543102652,-1.3064044952770812,3.3407976936432626,0.7286149859428406,0.0012057048623748123,-0.0035849737977339258,0.026776739274816774,0.08011787027338985,-0.02585891587536171,0.0,0.0014761442455784035,0.0014288443241601279,-0.012067391209915401,-0.037201988623144,0.01847168728970683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012057048623748123,0.0035849737977339258,-0.026776739274816774,-0.08011787027338985,0.02585891587536171,0.0,-0.0014761442455784035,-0.0014288443241601279,0.012067391209915401,0.037201988623144,-0.01847168728970683,0.0,0,1,1,0,0,1,1,0
5.520,2.484363167336948,0.8492509686505547,-0.4479794196351084,-0.4328437308192078,1.0370038866387372,0.0,0.6612424146962654,3.1363162498004047,0.9673937256956975,0.15961178206388277,2.255060871740888,0.0,2.7774855257994036,0.6406093297118769,-1.8243865714539536,1.282316522072496,0.2557094426920244,1.0896085500717163,0.3697413013323941,2.2940764602826773,1.6318420543102652,-1.3064044952770812,3.3407976936432626,0.7286149859428406,0.0012187527073463933,-0.00364373848552213,0.02721793521919247,0.08144965742934573,-0.02627461222585925,0.0,0.0015004528598028255,0.0014513574158452336,-0.012267828532504299,-0.0378191933036538,0.01877747039367872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012187527073463933,0.00364373848552213,-0.02721793521919247,-0.08144965742934573,0.02627461222585925,0.0,-0.0015004528598028255,-0.0014513574158452336,0.012267828532504299,0.0378191933036538,-0.01877747039367872,0.0,0,1,1,0,0,1,1,0
5.620,2.4843758638638747,0.8491926821264966,-0.4475416177339717,-0.43152170898804815,1.0365917162680993,0.0,0.6612665670233889,3.1363385711877387,0.9671947777282606,0.15899915593382455,2.255364365005996,0.0,2.7774855257994036,0.6406093297118769,-1.8243865714539536,1.282316522072496,0.2557094426920244,1.0896085500717163,0.3697413013323941,2.2940764602826773,1.6318420543102652,-1.3064044952770812,3.3407976936432626,0.7286149859428406,0.0012314492342730965,-0.0037020250095802787,0.02765573712032915,0.08277167926050538,-0.02668678259649715,0.0,0.00152460518692632,0.0014736788031792791,-0.012466776499941212,-0.03843181943371202,0.01908096365878631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012314492342730965,0.0037020250095802787,-0.02765573712032915,-0.08277167926050538,0.02668678259649715,0.0,-0.00152460518692632,-0.0014736788031792791,0.012466776499941212,0.03843181943371202,-0.01908096365878631,0.0,0,1,1,0,0,1,1,0
5.720,2.484388266841077,0.8491346222387062,-0.4471053190644671,-0.43020374519848065,1.0361812862203215,0.0,0.6612906679943742,3.1363607981067756,0.966996460557045,0.15838846353247896,2.2556668790008993,0.0,2.7774855257994036,0.6406093297118769,-1.8243865714539536,1.282316522072496,0.2557094426920244,1.0896085500717163,0.3697413013323941,2.2940764602826773,1.6318420543102652,-1.3064044952770812,3.3407976936432626,0.7286149859428406,0.0012438522114752715,-0.0037600848973706746,0.02809203578983377,0.08408964305007288,-0.027097212644275004,0.0,0.0015487061579115835,0.0014959057222161398,-0.012665093671156757,-0.03904251183505761,0.019383477653689862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012438522114752715,0.0037600848973706746,-0.02809203578983377,-0.08408964305007288,0.027097212644275004,0.0,-0.0015487061579115835,-0.0014959057222161398,0.012665093671156757,0.03904251183505761,-0.019383477653689862,0.0,0,1,1,0,0,1,1,0
5.820,2.484400365301419,0.8490768499149931,-0.4466709793325822,-0.4288912166115681,1.0357730209406661,0.0,0.6613146931311077,3.136382908080193,0.9667989817834064,0.15778034311646255,2.2559680978033985,0.0,2.7774855257994036,0.6406093297118769,-1.8243865714539536,1.282316522072496,0.2557094426920244,1.0896085500717163,0.3697413013323941,2.2940764602826773,1.6318420543102652,-1.3064044952770812,3.3407976936432626,0.7286149859428406,0.0012559506718172742,-0.0038178572210837425,0.02852637552171866,0.08540217163698544,-0.02750547792393032,0.0,0.00157273129464508,0.00151801569563359,-0.012862572444795384,-0.039650632251074014,0.019684696456188977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012559506718172742,0.0038178572210837425,-0.02852637552171866,-0.08540217163698544,0.02750547792393032,0.0,-0.00157273129464508,-0.00151801569563359,0.012862572444795384,0.039650632251074014,-0.019684696456188977,0.0,0,1,1,0,0,1,1,0
5.920,2.4844121584572796,0.84901937904586,-0.44623870102403684,-0.4275844336779036,1.0353670124857826,0.0,0.6613386374082397,3.136404896609894,0.9666023884720893,0.15717493863677015,2.2562679503590264,0.0,2.7774855257994036,0.6406093297118769,-1.8243865714539536,1.282316522072496,0.2557094426920244,1.0896085500717163,0.3697413013323941,2.2940764602826773,1.6318420543102652,-1.3064044952770812,3.3407976936432626,0.7286149859428406,0.001267743827678025,-0.003875328090216845,0.028958653830264025,0.08670895457064992,-0.02791148637881391,0.0,0.0015966755717771175,0.0015400042253346236,-0.013059165756112434,-0.040256036730766415,0.0199845490118169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001267743827678025,0.003875328090216845,-0.028958653830264025,-0.08670895457064992,0.02791148637881391,0.0,-0.0015966755717771175,-0.0015400042253346236,0.013059165756112434,0.040256036730766415,-0.0199845490118169,0.0,0,1,1,0,0,1,1,0
6.020,2.4844274173438716,0.8489431938599097,-0.44566533619068094,-0.42585039066512964,1.0348289822843244,0.0,0.6613704493992817,3.136434037167665,0.9663415512005409,0.15637167795728235,2.2566657673939043,0.0,2.7774855257994036,0.6406093297118769,-1.8243865714539536,1.282316522072496,0.2557094426920244,1.0896085500717163,0.3697413013323941,2.2940764602826773,1.6318420543102652,-1.3064044952770812,3.3407976936432626,0.7286149859428406,0.001283002714270065,-0.003951513276167162,0.02953201866361993,0.08844299758342389,-0.02844951658027206,0.0,0.001628487562819081,0.0015691447831054361,-0.013320003027660898,-0.041059297410254214,0.020382366046694855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001283002714270065,0.003951513276167162,-0.02953201866361993,-0.08844299758342389,0.02844951658027206,0.0,-0.001628487562819081,-0.0015691447831054361,0.013320003027660898,0.041059297410254214,-0.020382366046694855,0.0,0,1,1,0,0,1,1,0
6.120,2.484438531410009,0.8488863046446604,-0.4452369453555577,-0.42455422861647496,1.0344273569421867,0.0,0.6613942583918703,3.1364557919286713,0.9661466061952199,0.1557713205433742,2.256963071974874,0.0,2.7774855257994036,0.6406093297118769,-1.8243865714539536,1.282316522072496,0.2557094426920244,1.0896085500717163,0.3697413013323941,2.2940764602826773,1.6318420543102652,-1.3064044952770812,3.3407976936432626,0.7286149859428406,0.0012941167804072506,-0.00400840249141643,0.02996040949874318,0.08973915963207857,-0.028851141922409784,0.0,0.0016522965554076618,0.0015908995441118456,-0.013514948032981922,-0.04165965482416237,0.020679670627664404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012941167804072506,0.00400840249141643,-0.02996040949874318,-0.08973915963207857,0.028851141922409784,0.0,-0.0016522965554076618,-0.0015908995441118456,0.013514948032981922,0.04165965482416237,-0.020679670627664404,0.0,0,1,1,0,0,1,1,0
6.220,2.484445777263821,0.8488485347395175,-0.44495240915352313,-0.42369304935352753,1.034160770865911,0.0,0.6614100919970498,3.136470233290316,0.9660170957634128,0.15537246934951032,2.2571605767440466,0.0,2.7774855257994036,0.6406093297118769,-1.8243865714539536,1.282316522072496,0.2557094426920244,1.0896085500717163,0.3697413013323941,2.2940764602826773,1.6318420543102652,-1.3064044952770812,3.3407976936432626,0.7286149859428406,0.0013013626342193163,-0.0040461723965593555,0.030244945700777737,0.090600338895026,-0.029117727998685394,0.0,0.0016681301605872,0.0016053409057565915,-0.013644458464789011,-0.04205850601802624,0.02087717539683709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013013626342193163,0.0040461723965593555,-0.030244945700777737,-0.090600338895026,0.029117727998685394,0.0,-0.0016681301605872,-0.0016053409057565915,0.013644458464789011,0.04205850601802624,-0.02087717539683709,0.0,0,1,1,0,0,1,1,0
6.320,2.484456394171684,0.8487921575314389,-0.44452751658392864,-0.42240665880270567,1.0337629394853194,0.0,0.6614337660671339,3.136491786583745,0.9658236578415511,0.15477672950485588,2.257455560691599,0.0,2.7774855257994036,0.6406093297118769,-1.8243865714539536,1.282316522072496,0.2557094426920244,1.0896085500717163,0.3697413013323941,2.2940764602826773,1.6318420543102652,-1.3064044952770812,3.3407976936432626,0.7286149859428406,0.0013119795420823976,-0.004102549604637962,0.03066983827037223,0.09188672944584786,-0.02951555937927708,0.0,0.0016918042306712788,0.0016268941991857133,-0.013837896386650672,-0.042654245862680684,0.02117215934438965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013119795420823976,0.004102549604637962,-0.03066983827037223,-0.09188672944584786,0.02951555937927708,0.0,-0.0016918042306712788,-0.0016268941991857133,0.013837896386650672,0.042654245862680684,-0.02117215934438965,0.0,0,1,1,0,0,1,1,0
6.420,2.4844667120027637,0.8487361112387625,-0.44410490062439795,-0.42112667191975356,1.0333675443802919,0.0,0.6614573497861987,3.136513210857139,0.9656312057937866,0.1541840105624674,2.257749028671698,0.0,2.7774855257994036,0.6406093297118769,-1.8243865714539536,1.282316522072496,0.2557094426920244,1.0896085500717163,0.3697413013323941,2.2940764602826773,1.6318420543102652,-1.3064044952770812,3.3407976936432626,0.7286149859428406,0.0013222973731621401,-0.004158595897314377,0.03109245422990292,0.09316671632879997,-0.029910954484304586,0.0,0.0017153879497361357,0.001648318472579735,-0.014030348434415196,-0.04324696480506918,0.021465627324488423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013222973731621401,0.004158595897314377,-0.03109245422990292,-0.09316671632879997,0.029910954484304586,0.0,-0.0017153879497361357,-0.001648318472579735,0.014030348434415196,0.04324696480506918,-0.021465627324488423,0.0,0,1,1,0,0,1,1,0
6.520,2.4844800230050867,0.8486618178294885,-0.44354435112889684,-0.41942816104565456,1.0328435687807251,0.0,0.6614886884660713,3.1365416074856736,0.9653758629532305,0.1533975736356601,2.258138379570537,0.0,2.7774855257994036,0.6406093297118769,-1.8243865714539536,1.282316522072496,0.2557094426920244,1.0896085500717163,0.3697413013323941,2.2940764602826773,1.6318420543102652,-1.3064044952770812,3.3407976936432626,0.7286149859428406,0.0013356083754851866,-0.004232889306588383,0.03165300372540403,0.09486522720289897,-0.030434930083871325,0.0,0.0017467266296087303,0.0016767151011141124,-0.014285691274971257,-0.044033401731876476,0.021854978223327493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013356083754851866,0.004232889306588383,-0.03165300372540403,-0.09486522720289897,0.030434930083871325,0.0,-0.0017467266296087303,-0.0016767151011141124,0.014285691274971257,0.044033401731876476,-0.021854978223327493,0.0,0,1,1,0,0,1,1,0
6.620,2.4844864914621656,0.8486248421433645,-0.44326521874033603,-0.41858203957710954,1.0325828481778454,0.0,0.6615043190671376,3.1365557396465182,0.9652486784639173,0.15300584352384045,2.2583323049376225,0.0,2.7774855257994036,0.6406093297118769,-1.8243865714539536,1.282316522072496,0.2557094426920244,1.0896085500717163,0.3697413013323941,2.2940764602826773,1.6318420543102652,-1.3064044952770812,3.3407976936432626,0.7286149859428406,0.001342076832564043,-0.004269864992712313,0.03193213611396484,0.09571134867144399,-0.030695650686751064,0.0,0.0017623572306749713,0.0016908472619587833,-0.014412875764284516,-0.04442513184369612,0.022048903590413005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001342076832564043,0.004269864992712313,-0.03193213611396484,-0.09571134867144399,0.030695650686751064,0.0,-0.0017623572306749713,-0.0016908472619587833,0.014412875764284516,0.04442513184369612,-0.022048903590413005,0.0,0,1,1,0,0,1,1,0
